tweet_id,date
1488433061196812291,2022-02-01
1488447673883676672,2022-02-01
1488493240475078658,2022-02-01
1488502446771081216,2022-02-01
1488511509961527302,2022-02-01
1488574320687435776,2022-02-01
1488587552860815366,2022-02-01
1488598023378714630,2022-02-01
1488603981270163456,2022-02-01
1488627379736035329,2022-02-01
1488639739519451144,2022-02-01
1488644532174561281,2022-02-01
1488751907522887686,2022-02-02
1488782933137707013,2022-02-02
1488795342300717057,2022-02-02
1488813736953585664,2022-02-02
1488807445086539776,2022-02-02
1488870610805702657,2022-02-02
1488889628379734023,2022-02-02
1488886467770593280,2022-02-02
1488884407930920965,2022-02-02
1488946493478293504,2022-02-02
1488978947392081922,2022-02-02
1488973535183876103,2022-02-02
1489137396172181505,2022-02-03
1489135491924602880,2022-02-03
1489150588306796547,2022-02-03
1489154941658845187,2022-02-03
1489180800331440133,2022-02-03
1489205997700853766,2022-02-03
1489205626081353728,2022-02-03
1489209478998282240,2022-02-03
1489207046377545731,2022-02-03
1489263719737561095,2022-02-03
1489262349210959877,2022-02-03
1489277274860011530,2022-02-03
1489339665668878341,2022-02-03
1489492954440155138,2022-02-04
1489499386832904193,2022-02-04
1489497268877246465,2022-02-04
1489497008234766339,2022-02-04
1489495794155720707,2022-02-04
1489511044565323781,2022-02-04
1489521852716396546,2022-02-04
1489539710267625475,2022-02-04
1489558218913337344,2022-02-04
1489594992205209602,2022-02-04
1489613734410698755,2022-02-04
1489628469315215363,2022-02-04
1489624788934881282,2022-02-04
1489637044217421825,2022-02-04
1489634769218555905,2022-02-04
1489640978872999936,2022-02-04
1489651821564112897,2022-02-04
1489648057683783684,2022-02-04
1489697066993565705,2022-02-04
1489706729080242177,2022-02-04
1489713080380661762,2022-02-04
1489850825841299459,2022-02-05
1489932810886557697,2022-02-05
1489954035222425602,2022-02-05
1489972630677565442,2022-02-05
1490036346722955267,2022-02-05
1490044153517858817,2022-02-05
1490096813721927684,2022-02-05
1490217183368077318,2022-02-06
1490268487733985283,2022-02-06
1490293507835273218,2022-02-06
1490297974957740039,2022-02-06
1490294208036425728,2022-02-06
1490311579233042434,2022-02-06
1490359840774004738,2022-02-06
1490389133918887940,2022-02-06
1490392567825022980,2022-02-06
1490410451968081920,2022-02-06
1490408150050168838,2022-02-06
1490407773665910786,2022-02-06
1490420284377251841,2022-02-06
1490420216332967939,2022-02-06
