datetime,tweet_id,text,username,like_count,retweet_count,reply_count,quote_count,date,day,month,time,hour,minute,hashtags,arrobas,text_clean,tranches_like,hash_solidarite
2022-02-24 13:06:33+00:00,1496833929076436996,#Ukraine | Déclaration du Président de la République française @EmmanuelMacron https://t.co/8sKrCCwVM9,gouvernementFR,259,83,23,4,2022-02-24,24,2,13:06:33,13,6,['#Ukraine'],['@EmmanuelMacron'],#Ukraine | Déclaration du Président de la République française @EmmanuelMacron ,[201-500 likes],0
2022-02-25 14:30:00+00:00,1497217320749572101,"#Ukraine | 🇺🇦 🇫🇷 À la suite de la classification en pays « rouge » de l’Ukraine, une cellule d’écoute a été mise à disposition des ressortissants français. ⤵️
https://t.co/uvsUSfM0Oj",gouvernementFR,63,30,7,2,2022-02-25,25,2,14:30:00,14,30,['#Ukraine'],[],"#Ukraine | 🇺🇦 🇫🇷 À la suite de la classification en pays « rouge » de l’Ukraine, une cellule d’écoute a été mise à disposition des ressortissants français. ⤵️
",[1-100 likes],0
2022-02-27 17:17:40+00:00,1497984290730262528,"#PFUE2022 🇫🇷🇪🇺 | Depuis Bruxelles, suivez en direct la conférence de presse de @GDarmanin, ministre de l'Intérieur et @YlvaJohansson, commissaire européenne aux #AffairesIntérieures. 

#Ukraine https://t.co/vbl66r8QIl",gouvernementFR,41,14,0,0,2022-02-27,27,2,17:17:40,17,17,"['#PFUE', '#AffairesInt', '#Ukraine']","['@GDarmanin', '@YlvaJohansson']","#PFUE2022 🇫🇷🇪🇺 | Depuis Bruxelles, suivez en direct la conférence de presse de @GDarmanin, ministre de l'Intérieur et @YlvaJohansson, commissaire européenne aux #AffairesIntérieures. 

#Ukraine ",[1-100 likes],0
2022-02-27 17:14:43+00:00,1497983545654104073,"EN DIRECT #PFUE2022 🇫🇷🇪🇺 | Depuis Bruxelles, suivez la conférence de presse de @GDarmanin, ministre de l'Intérieur et @YlvaJohansson, commissaire européenne aux #AffairesIntérieures. #Ukraine  https://t.co/UwDAmyptcB",Interieur_Gouv,187,73,17,5,2022-02-27,27,2,17:14:43,17,14,"['#PFUE', '#AffairesInt', '#Ukraine']","['@GDarmanin', '@YlvaJohansson']","EN DIRECT #PFUE2022 🇫🇷🇪🇺 | Depuis Bruxelles, suivez la conférence de presse de @GDarmanin, ministre de l'Intérieur et @YlvaJohansson, commissaire européenne aux #AffairesIntérieures. #Ukraine  ",[101-200 likes],0
2022-03-01 14:04:05+00:00,1498660348131483649,EN DIRECT | Situation en #Ukraine : suivez la déclaration du Premier ministre @JeanCastex devant l’Assemblée nationale. https://t.co/HU73GpPR2L,gouvernementFR,271,131,100,12,2022-03-01,1,3,14:04:05,14,4,['#Ukraine'],['@JeanCastex'],EN DIRECT | Situation en #Ukraine : suivez la déclaration du Premier ministre @JeanCastex devant l’Assemblée nationale. ,[201-500 likes],0
2022-03-01 18:06:17+00:00,1498721298129866758,EN DIRECT | Situation en #Ukraine : suivez la déclaration du Premier ministre @JeanCastex devant le Sénat. https://t.co/MLVErZDw5f,gouvernementFR,97,40,208,4,2022-03-01,1,3,18:06:17,18,6,['#Ukraine'],['@JeanCastex'],EN DIRECT | Situation en #Ukraine : suivez la déclaration du Premier ministre @JeanCastex devant le Sénat. ,[1-100 likes],0
2022-03-02 19:01:50+00:00,1499097665971560448,#Ukraine | Adresse aux Français du Président de la République française @EmmanuelMacron. https://t.co/rSnWt9voe5,gouvernementFR,93,30,8,3,2022-03-02,2,3,19:01:50,19,1,['#Ukraine'],['@EmmanuelMacron'],#Ukraine | Adresse aux Français du Président de la République française @EmmanuelMacron. ,[1-100 likes],0
2022-03-03 16:20:22+00:00,1499419419931463688,"🎥#PFUE2022 🇫🇷🇪🇺 | Depuis #Bruxelles, suivez la conférence de presse de @GDarmanin, ministre de l'Intérieur et @YlvaJohansson, commissaire européenne aux #AffairesIntérieures, à l'issue du Conseil des ministres de l’Intérieur européens. @UEFrance #Ukraine https://t.co/cB39lMEszB",Interieur_Gouv,43,23,12,3,2022-03-03,3,3,16:20:22,16,20,"['#PFUE', '#Bruxelles', '#AffairesInt', '#Ukraine']","['@GDarmanin', '@YlvaJohansson', '@UEFrance']","🎥#PFUE2022 🇫🇷🇪🇺 | Depuis #Bruxelles, suivez la conférence de presse de @GDarmanin, ministre de l'Intérieur et @YlvaJohansson, commissaire européenne aux #AffairesIntérieures, à l'issue du Conseil des ministres de l’Intérieur européens. @UEFrance #Ukraine ",[1-100 likes],0
2022-03-04 18:35:37+00:00,1499815846218240006,EN DIRECT | Situation en #Ukraine : le Premier ministre @JeanCastex s’exprime depuis le centre de crise et de soutien du ministère de l’Europe et des Affaires étrangères. https://t.co/IumDDI8LWS,gouvernementFR,208,90,311,6,2022-03-04,4,3,18:35:37,18,35,['#Ukraine'],['@JeanCastex'],EN DIRECT | Situation en #Ukraine : le Premier ministre @JeanCastex s’exprime depuis le centre de crise et de soutien du ministère de l’Europe et des Affaires étrangères. ,[201-500 likes],0
2022-03-08 09:34:04+00:00,1501129110432755717,EN DIRECT | 🇺🇦🇪🇺🇫🇷 Solidarité avec les réfugiés venus d'#Ukraine : suivez l'intervention du Premier ministre @JeanCastex depuis le centre d'accueil de Paris. https://t.co/dflbWT5NhB,gouvernementFR,144,53,55,3,2022-03-08,8,3,09:34:04,9,34,['#Ukraine'],['@JeanCastex'],EN DIRECT | 🇺🇦🇪🇺🇫🇷 Solidarité avec les réfugiés venus d'#Ukraine : suivez l'intervention du Premier ministre @JeanCastex depuis le centre d'accueil de Paris. ,[101-200 likes],0
2022-03-08 17:31:04+00:00,1501249151761268739,"[#Ukraine] Pensées fraternelles et solidaires aux
130 000 hommes et femmes de la police nationale ukrainienne. #Україна https://t.co/YqaYRqKFD7",PoliceNationale,609,90,68,4,2022-03-08,8,3,17:31:04,17,31,['#Ukraine'],[],"[#Ukraine] Pensées fraternelles et solidaires aux
130 000 hommes et femmes de la police nationale ukrainienne. #Україна ",>500 likes,0
2022-03-10 17:02:39+00:00,1501966777823150091,"#Ukraine🇺🇦| @MarleneSchiappa est venue observer à la Gare de l'Est le dispositif de protection temporaire mis en place pour les déplacés ukrainiens. L'objectif ? Leur permettre de : 
👉 Rester sur le sol 🇫🇷
👉 Bénéficier d'une protection 
👉Circuler dans l'🇪🇺",Interieur_Gouv,117,46,25,3,2022-03-10,10,3,17:02:39,17,2,['#Ukraine'],['@MarleneSchiappa'],"#Ukraine🇺🇦| @MarleneSchiappa est venue observer à la Gare de l'Est le dispositif de protection temporaire mis en place pour les déplacés ukrainiens. L'objectif ? Leur permettre de : 
👉 Rester sur le sol 🇫🇷
👉 Bénéficier d'une protection 
👉Circuler dans l'🇪🇺",[101-200 likes],0
2022-03-14 17:11:57+00:00,1503418668289515520,"🇺🇦 La Sécurité civile engage ses moyens pour participer à l'action de solidarité de la France envers l'#Ukraine :  👨‍🚒 Envoi de logisticiens en Moldavie et en Pologne
✈️🚛 Acheminement par voie terrestre en Slovaquie et aérienne en Pologne de matériels sanitaires et de secours https://t.co/Mv3kHnfUUN",SecCivileFrance,235,64,3,2,2022-03-14,14,3,17:11:57,17,11,['#Ukraine'],[],"🇺🇦 La Sécurité civile engage ses moyens pour participer à l'action de solidarité de la France envers l'#Ukraine :  👨‍🚒 Envoi de logisticiens en Moldavie et en Pologne
✈️🚛 Acheminement par voie terrestre en Slovaquie et aérienne en Pologne de matériels sanitaires et de secours ",[201-500 likes],0
2022-03-16 08:00:01+00:00,1504004546288230402,"#Ukraine | 🇺🇦🇫🇷 Position de la France, soutien aux réfugiés, plan de résilience... Retrouvez toutes les informations officielles sur la crise en Ukraine. ⤵️
https://t.co/UyQnOXeuaS",gouvernementFR,45,19,7,2,2022-03-16,16,3,08:00:01,8,0,['#Ukraine'],[],"#Ukraine | 🇺🇦🇫🇷 Position de la France, soutien aux réfugiés, plan de résilience... Retrouvez toutes les informations officielles sur la crise en Ukraine. ⤵️
",[1-100 likes],0
2022-03-17 16:49:44+00:00,1504500243261448207,"📌 Le directeur général a réuni ce matin les chefs des États-majors interministériels de zone. Parmi les sujets abordés ⤵️
🇺🇦 Actions de solidarité 🇫🇷 envers l'#Ukraine
🔥 Orientations pour la campagne #FeuxDeForêt 2022
🧑‍🚒 Mobilisation de la Sécurité civile pour les JO #Paris2024 https://t.co/TbTmDk43me",SecCivileFrance,86,30,0,0,2022-03-17,17,3,16:49:44,16,49,"['#Ukraine', '#FeuxDeFor', '#Paris']",[],"📌 Le directeur général a réuni ce matin les chefs des États-majors interministériels de zone. Parmi les sujets abordés ⤵️
🇺🇦 Actions de solidarité 🇫🇷 envers l'#Ukraine
🔥 Orientations pour la campagne #FeuxDeForêt 2022
🧑‍🚒 Mobilisation de la Sécurité civile pour les JO #Paris2024 ",[1-100 likes],0
2022-03-22 11:38:25+00:00,1506233836132261893,"Solidarité avec l’#Ukraine 🇺🇦🤝🇫🇷
Départ demain d’un convoi de 50 engins de la Sécurité civile pour la Roumanie 
🚒27 véhicules d’incendie et de secours donnés par 17 SDIS de toute la France 
🚛49T de fret (matériel médical et d’intervention) acheminées par les sapeurs-sauveteurs https://t.co/4U3RIcNUQ8",SecCivileFrance,448,144,14,16,2022-03-22,22,3,11:38:25,11,38,['#Ukraine'],[],"Solidarité avec l’#Ukraine 🇺🇦🤝🇫🇷
Départ demain d’un convoi de 50 engins de la Sécurité civile pour la Roumanie 
🚒27 véhicules d’incendie et de secours donnés par 17 SDIS de toute la France 
🚛49T de fret (matériel médical et d’intervention) acheminées par les sapeurs-sauveteurs ",[201-500 likes],0
2022-03-22 16:05:55+00:00,1506301154317193230,EN DIRECT | Accueil des réfugiés venus d’#Ukraine : suivez la déclaration de @JeanCastex à l’issue de la cellule interministérielle de crise qui s’est tenue au ministère de l’@Interieur_Gouv. https://t.co/OPX03U2eWl,gouvernementFR,150,55,104,11,2022-03-22,22,3,16:05:55,16,5,['#Ukraine'],"['@JeanCastex', '@Interieur']",EN DIRECT | Accueil des réfugiés venus d’#Ukraine : suivez la déclaration de @JeanCastex à l’issue de la cellule interministérielle de crise qui s’est tenue au ministère de l’@Interieur_Gouv. ,[101-200 likes],0
2022-03-23 17:06:43+00:00,1506678841103863808,"#Solidarité #Ukraine 🇺🇦🤝🇫🇷 Le convoi à destination de la Roumanie est parti ce matin.
🚒🧑‍🚒 Les 50 engins et les 100 sapeurs-pompiers et sapeurs-sauveteurs mobilisés ont 2 200km à parcourir avant de distribuer matériels et véhicules au profit de leurs homologues ukrainiens. https://t.co/VIkYRQxXmC",SecCivileFrance,494,119,7,8,2022-03-23,23,3,17:06:43,17,6,"['#Solidarit', '#Ukraine']",[],"#Solidarité #Ukraine 🇺🇦🤝🇫🇷 Le convoi à destination de la Roumanie est parti ce matin.
🚒🧑‍🚒 Les 50 engins et les 100 sapeurs-pompiers et sapeurs-sauveteurs mobilisés ont 2 200km à parcourir avant de distribuer matériels et véhicules au profit de leurs homologues ukrainiens. ",[201-500 likes],1
2022-03-24 16:15:10+00:00,1507028257438375942,EN DIRECT | Accueil des réfugiés venus d’#Ukraine : suivez la déclaration du Premier ministre @JeanCastex depuis le centre d’hébergement provisoire de Nice. https://t.co/9MsGlJ8BTL,gouvernementFR,135,47,139,3,2022-03-24,24,3,16:15:10,16,15,['#Ukraine'],['@JeanCastex'],EN DIRECT | Accueil des réfugiés venus d’#Ukraine : suivez la déclaration du Premier ministre @JeanCastex depuis le centre d’hébergement provisoire de Nice. ,[101-200 likes],0
